Respondent,Employment,Country,EdLevel,OrgSize,DevType,YearsCode,Age1stCode,YearsCodePro,CareerSat,JobSat,ConvertedComp,WorkLoc,ImpSyn,Age,Gender,Trans,Sexuality,Ethnicity,Dependents,SurveyLength,SurveyEase
4,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,"Developer, full-stack",3,16,Less than 1 year,Very satisfied,Slightly satisfied,61000,Home,A little below average,22,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
9,Employed full-time,New Zealand,Some college/university study without earning a degree,10 to 19 employees,"Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, QA or test;DevOps specialist",12,11,4,Slightly satisfied,Slightly satisfied,95179,Office,A little above average,23,Man,No,Bisexual,White or of European descent,No,Appropriate in length,Neither easy nor difficult
13,Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10 to 19 employees,"Data or business analyst;Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile;DevOps specialist;Engineer, data;Engineer, site reliability;Engineering manager;Senior executive/VP;System administrator",17,11,8,Very satisfied,Very satisfied,90000,Home,A little above average,28,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Easy
16,Employed full-time,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",100 to 499 employees,"Developer, full-stack",10,17,3,Very satisfied,Slightly satisfied,455352,Home,Average,26,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Neither easy nor difficult
17,Employed full-time,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,"Developer, back-end;Developer, front-end;Developer, full-stack;Student",5,18,2,Slightly satisfied,Neither satisfied nor dissatisfied,65277,"Other place, such as a coworking space or cafe",A little above average,29,Man,No,Straight / Heterosexual,Hispanic or Latino/Latina;Multiracial,No,Appropriate in length,Easy
19,Employed full-time,Brazil,Some college/university study without earning a degree,100 to 499 employees,"Developer, full-stack",14,13,13,Very dissatisfied,Very satisfied,31140,Office,Far above average,31,Man,No,Straight / Heterosexual,Hispanic or Latino/Latina,Yes,Too long,Easy
20,Employed full-time,Lithuania,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","1,000 to 4,999 employees","Database administrator;Designer;Developer, back-end;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile;System administrator",8,17,4,Very satisfied,Slightly dissatisfied,41244,Office,A little above average,38,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Easy
22,Employed full-time,United States,Some college/university study without earning a degree,"10,000 or more employees","Data or business analyst;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;DevOps specialist;System administrator",35,12,18,Slightly satisfied,Very dissatisfied,103000,Home,Average,47,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Easy
23,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees","Developer, full-stack",3,19,1,Slightly satisfied,Slightly satisfied,69000,Office,Average,22,Man,No,Straight / Heterosexual,Black or of African descent,No,Appropriate in length,Easy
24,Employed full-time,Israel,Primary/elementary school,10 to 19 employees,"Developer, front-end",2,21,1,Very satisfied,Very satisfied,26388,Office,A little above average,23,Man,No,Straight / Heterosexual,Middle Eastern,No,Appropriate in length,Easy
25,Employed full-time,South Africa,Associate degree,2-9 employees,"Designer;Developer, back-end;Developer, front-end;Developer, full-stack",2,16,1,Very satisfied,Very satisfied,6300,Home,Average,22,Man,No,Straight / Heterosexual,White or of European descent,No,Too short,Neither easy nor difficult
26,Employed full-time,United States,Some college/university study without earning a degree,"10,000 or more employees","Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test;Educator;Engineering manager;Product manager",12,8,8,Very satisfied,Very satisfied,114000,Home,Far above average,34,Man,No,Gay or Lesbian,,No,Appropriate in length,Easy
29,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees","Developer, front-end;Educator",4,20,2,Very satisfied,Slightly satisfied,100000,Office,A little above average,32,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Easy
32,Employed full-time,United States,Associate degree,100 to 499 employees,"Developer, full-stack",3,16,2,Slightly satisfied,Slightly satisfied,1100000,Home,A little above average,21,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Neither easy nor difficult
38,Employed full-time,Czech Republic,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10 to 19 employees,"Developer, full-stack;Engineer, data",30,14,22,Slightly satisfied,Very satisfied,51312,Office,A little above average,44,Man,No,,,Yes,Appropriate in length,Neither easy nor difficult
39,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,"Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;DevOps specialist",30,6,23,Very satisfied,Very satisfied,156000,Office,A little above average,42,Man,No,Bisexual,White or of European descent,No,Appropriate in length,Easy
43,Employed full-time,Spain,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees","Developer, front-end;Developer, game or graphics;Developer, mobile;Educator;Engineer, data",9,15,2,Very dissatisfied,Slightly dissatisfied,20623,Home,Far above average,27,Man,No,Straight / Heterosexual,Hispanic or Latino/Latina,No,Too long,Easy
44,Employed full-time,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees","Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;DevOps specialist",26,12,19,Slightly satisfied,Neither satisfied nor dissatisfied,87996,Home,Far above average,43,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Easy
49,Employed full-time,Serbia,Some college/university study without earning a degree,20 to 99 employees,"Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;DevOps specialist;System administrator",15,15,8,Very satisfied,Very satisfied,60000,Office,Average,34,Man,No,Straight / Heterosexual,White or of European descent,Yes,Too long,Easy
50,Employed full-time,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees","Developer, back-end;DevOps specialist",7,15,2,Slightly satisfied,Very satisfied,5597,"Other place, such as a coworking space or cafe",Average,23,Man,No,,South Asian,No,Too long,Easy
53,Employed full-time,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",500 to 999 employees,"Developer, full-stack;DevOps specialist;Engineer, site reliability;Student;System administrator",5,10,3,Slightly satisfied,Slightly satisfied,47300,Office,A little below average,18,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
54,Employed full-time,Sweden,,20 to 99 employees,"Developer, full-stack;DevOps specialist;System administrator",20,13,10,Very satisfied,Slightly satisfied,68268,Home,Far above average,37,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
